userId,restoId,rating,service
1001,132825,3,3
1001,135025,3,3
1001,135039,2,2
1001,135085,1,2
1002,132825,3,3
1002,132862,3,3
1002,132921,3,2
1002,132925,2,2
1002,135041,3,2
1002,135052,2,2
1002,135059,2,3
1002,135085,2,2
1002,135106,2,2
1003,132723,3,3
1003,132754,3,3
1003,132755,3,3
1003,132825,3,3
1003,132862,2,3
1003,132922,3,3
1003,132937,3,3
1003,135041,1,2
1003,135059,3,3
1003,135075,3,3
1003,135079,3,3
1004,132954,3,3
1004,132955,3,3
1004,132958,3,3
1004,135028,3,3
1004,135032,3,3
1004,135060,2,2
1004,135106,3,3
1005,135032,3,2
1005,135041,2,2
1005,135042,3,2
1005,135043,1,3
1005,135057,2,3
1006,132572,2,1
1006,132825,2,2
1006,132875,3,3
1006,132922,3,2
1006,132954,2,2
1006,135026,3,3
1006,135030,2,2
1006,135048,2,2
1006,135075,2,2
1006,135079,2,2
1007,132572,2,2
1007,135025,2,2
1007,135032,2,2
1007,135057,2,2
1007,135058,2,3
1007,135085,2,3
1007,135086,1,1
1008,132846,2,2
1008,132851,2,2
1008,132854,3,3
1008,132858,2,3
1008,132866,2,2
1008,132869,2,2
1008,135054,2,2
1008,135069,2,2
1009,132754,2,3
1009,132825,2,2
1009,132834,3,3
1009,132862,3,2
1009,135052,3,2
1009,135058,2,2
1009,135059,3,2
1009,135060,2,2
1009,135079,2,3
1010,135042,3,3
1010,135053,2,2
1010,135058,2,1
1010,135079,1,1
1011,132715,2,2
1011,132717,3,3
1012,134983,3,3
1012,134986,3,3
1012,135018,3,3
1013,132572,2,2
1013,132875,3,3
1013,132921,3,3
1013,132951,3,3
1013,135060,2,2
1013,135072,3,2
1013,135075,3,3
1013,135079,2,2
1013,135085,2,3
1014,135042,2,2
1014,135043,2,1
1014,135057,2,1
1014,135069,2,1
1015,132845,2,2
1015,132851,2,2
1015,132866,1,2
1015,132869,3,3
1015,132870,1,1
1015,135054,2,2
1015,135071,1,1
1016,132834,3,3
1016,132856,3,3
1016,132862,3,3
1016,135032,3,3
1016,135042,2,3
1016,135052,3,3
1016,135060,3,3
1016,135085,3,3
1016,135106,3,3
1017,132768,2,2
1017,134983,1,1
1018,135025,2,2
1018,135032,2,2
1018,135043,1,1
1018,135057,2,2
1018,135069,1,2
1019,132834,1,1
