userId,restoId,rating,service
1077,135085,3,3
1077,135038,3,3
1077,132825,3,3
1077,135060,2,3
1068,135104,2,2
1068,132740,1,1
1068,132663,2,2
1068,132732,1,1
1068,132630,2,2
1067,132584,3,3
1067,132733,2,2
1067,132732,2,3
1067,132630,2,1
1067,135104,1,1
1067,132560,2,1
1103,132584,2,3
1103,132732,1,1
1103,132630,2,3
1103,132613,3,3
1103,132667,2,3
1103,135104,2,3
1103,132663,2,1
1103,132733,3,3
1107,132660,3,3
1107,132584,3,3
1107,132733,3,3
1044,135088,3,3
1044,132583,2,3
1070,132608,3,3
1070,132609,2,2
1070,132613,2,2
1031,132663,1,1
1031,132665,1,1
1031,132668,1,1
1082,132630,2,2
1023,132715,1,1
1023,132717,1,1
1082,132613,1,1
1082,132594,1,1
1082,132608,1,1
1082,132609,1,1
1082,132663,1,1
1082,132560,1,1
1060,132564,3,3
1060,132717,3,3
1060,132733,3,2
1060,132740,2,3
1015,135071,1,1
1123,132733,2,3
1123,132608,2,3
1123,135104,3,3
1123,132584,2,3
1123,132667,2,3
1123,132740,2,2
1123,132613,2,3
1123,132594,2,2
1021,132740,3,3
1026,132626,3,3
1021,132668,3,3
1021,132715,3,3
1044,134987,1,1
1083,135034,3,3
1083,132723,2,2
1083,135046,3,3
1108,135075,3,3
1108,132572,2,3
1108,135074,3,3
1108,135028,2,2
1108,135085,2,3
1108,135032,3,2
1108,135086,2,2
1108,132723,3,3
1108,135046,2,3
1108,135058,2,2
1012,135001,2,2
1012,134983,3,3
1012,134996,3,3
1093,135019,3,3
1093,134996,3,3
1093,135001,3,3
1093,134976,3,3
1093,134999,3,3
1030,135018,3,3
1093,135013,3,3
1030,134986,3,3
1012,134986,3,3
1012,135018,3,3
1030,135088,2,1
1093,132767,3,3
1030,135016,1,1
1093,135011,2,2
1030,132767,1,1
1030,135019,1,1
1030,135109,1,1
1030,134996,1,1
1066,135011,2,3
1066,134999,2,2
1127,134975,3,3
1127,135021,3,2
1127,134987,3,1
1127,134996,3,3
1017,132768,2,2
1066,135019,3,2
1017,134975,3,2
1017,134983,1,1
1066,132767,2,3
1100,135021,3,2
1100,134996,3,2
1066,135013,2,3
1100,135000,3,2
1100,135001,3,3
1100,132768,3,3
1100,134976,3,3
1133,134983,2,2
1133,134986,3,3
1133,132766,2,2
1133,132767,1,1
1133,135021,3,3
1133,135001,3,3
1133,134975,2,2
1133,134992,2,3
1133,135019,2,3
1118,134987,1,1
1072,135016,2,3
1072,132773,3,2
1072,135088,1,2
1026,132561,2,2
1026,132706,1,3
1026,132654,1,1
1026,132665,3,3
1023,132740,1,1
1023,132733,3,3
1080,132668,2,2
1080,132660,3,3
1080,132733,2,2
1080,132608,3,3
1063,132660,3,3
1063,132584,3,2
1063,132609,2,1
1063,135104,2,3
1063,132667,2,3
1080,132564,2,2
1080,132715,2,2
1082,132732,1,1
1082,132733,1,1
1074,135011,3,2
1074,134987,3,3
1074,134976,3,3
1117,135018,2,2
1117,132766,1,1
1117,135088,2,2
1117,135016,3,3
1117,132773,2,3
1117,135000,2,2
1118,132583,1,1
1118,132768,1,1
1118,135021,3,1
1118,134983,1,1
1118,135001,1,1
1118,134992,1,1
1020,135088,2,3
1020,132768,3,3
1020,134996,2,2
1020,135109,3,3
1051,135088,2,2
1051,135109,2,2
1051,132768,2,3
1055,135051,2,3
1055,135075,3,3
1055,132572,3,3
1055,135028,3,3
1055,135025,3,3
1083,132572,3,3
1083,135049,1,1
1055,135106,3,3
1083,135072,2,3
1083,135074,3,3
1083,132755,3,3
1083,135044,2,3
1055,135048,3,3
1055,135047,3,3
1055,132754,3,3
1055,132825,3,3
1053,135076,2,2
1053,135032,3,3
1053,132825,2,3
1053,135063,3,2
1035,135018,2,3
1035,132773,3,2
1053,135042,3,2
1053,135053,3,3
1053,132754,2,3
1035,132583,2,1
1053,135081,3,3
1053,135025,3,2
1053,135038,3,2
1053,135060,3,3
1053,135062,3,2
1053,135047,3,3
1064,135042,2,3
1081,135069,2,1
1064,135057,2,2
1081,135076,2,3
1081,135043,1,1
1064,135069,1,1
1081,135039,1,1
1064,135060,2,1
1064,135052,3,1
1081,132825,2,1
1081,135032,1,2
1081,135028,2,3
1081,135085,2,3
1081,135052,1,2
1081,135030,2,2
1081,135027,1,2
1001,132830,2,2
1001,132825,3,3
1014,135076,2,3
1088,132830,1,3
1088,135108,3,3
1014,135069,2,1
1014,135050,3,3
1088,135057,2,3
1014,135081,3,2
1014,135057,2,1
1014,135070,3,3
1088,135041,3,3
1088,135069,2,3
1088,135082,3,3
1014,135043,2,1
1014,135042,2,2
1088,135071,1,1
1088,135054,3,3
1088,135070,3,3
1014,135066,3,2
1088,135032,3,3
1088,135081,2,3
1088,135051,3,2
1014,132830,3,3
1014,135082,1,1
1056,135066,3,3
1056,135050,1,1
1056,135076,3,3
1056,135081,3,3
1056,135062,3,3
1056,135027,3,3
1056,135085,3,3
1056,135052,3,3
1056,132825,3,3
1056,135051,3,3
1134,135047,2,2
1134,135026,1,1
1134,135044,2,2
1134,132825,2,3
1134,135059,3,2
1134,135065,3,3
1134,135046,3,2
1134,135085,3,2
1134,135079,2,2
1134,135055,3,3
1134,132754,3,2
1134,132572,1,1
1134,135075,3,2
1134,135080,2,2
1134,135064,3,3
1134,135074,3,3
1106,135041,2,2
1126,135069,1,1
1106,135032,1,1
1126,135057,3,3
1126,132830,1,1
1106,135028,3,2
1126,135040,1,1
1126,135106,3,3
1126,135052,3,2
1126,135041,3,2
1126,135038,2,1
1126,135054,2,3
1126,135108,3,3
1044,134986,3,3
1124,135054,2,2
1044,132768,3,3
1124,135108,2,2
1124,135032,2,2
1124,135071,2,1
1124,135070,2,2
1124,135069,2,2
1124,135081,2,2
1124,135057,2,2
1124,135039,2,2
1124,135050,1,2
1018,135043,1,1
1125,135043,2,2
1125,135081,1,1
1125,135076,2,2
1018,135082,3,3
1125,135050,3,2
1125,135066,2,1
1125,135032,2,3
1119,134986,3,3
1119,135021,1,1
1119,135001,3,3
1125,135042,2,2
1119,132583,3,3
1125,135063,2,3
1119,132768,3,3
1125,135060,2,1
1125,135038,3,3
1125,135062,2,3
1018,135081,2,2
1018,135057,2,2
1018,135066,2,2
1018,135032,2,2
1018,135062,1,1
1018,135025,2,2
1018,135069,1,2
1018,135108,2,1
1076,135039,3,3
1076,135038,2,3
1076,135027,1,2
1076,135042,3,3
1022,135040,1,1
1076,135073,3,2
1022,135033,2,2
1022,135025,1,1
1022,135032,2,2
1022,135057,3,3
1022,135060,2,2
1022,135052,3,3
1022,135038,3,2
1022,135081,1,3
1022,135045,3,2
1022,135051,3,2
1022,135073,3,3
1022,135062,2,3
1022,135063,3,2
1094,135054,1,1
1094,135082,1,1
1094,135057,1,2
1094,135071,1,2
1094,132830,1,2
1094,135070,1,2
1094,135108,1,2
1094,135069,1,2
1116,135047,3,3
1116,135060,1,1
1116,135038,3,3
1116,135085,3,3
1116,135052,3,3
1116,135025,3,3
1116,135059,1,3
1116,135027,1,3
1116,132825,3,3
1116,135030,2,3
1116,132834,3,3
1105,135057,1,1
1105,135069,1,1
1105,132830,1,1
1105,135040,1,1
1105,135033,1,1
1105,135054,1,1
1105,135039,1,1
1105,135052,1,1
1075,135081,2,3
1075,135066,3,2
1075,135050,3,3
1007,135108,2,2
1075,135076,3,3
1007,135057,2,2
1075,135032,2,2
1075,132834,2,3
1075,135057,3,2
1075,132830,2,2
1075,135062,2,1
1075,135039,3,3
1075,135051,2,2
1075,135041,2,2
1115,135057,3,3
1115,135082,3,3
1115,135054,1,1
1115,135108,2,3
1115,135069,2,1
1115,132830,3,3
1115,135070,2,2
1115,135071,3,3
1072,135000,1,1
1024,132834,2,2
1024,135106,2,2
1024,135042,2,3
1024,132825,2,2
1024,135060,2,1
1024,135032,3,3
1024,135039,3,3
1024,135045,3,3
1024,135027,2,3
1024,135073,2,3
1024,135051,2,2
1024,135041,2,2
1024,135038,2,2
1024,135028,2,2
1024,135030,2,2
1132,135038,2,2
1132,132825,3,3
1132,135085,3,3
1132,135062,3,2
1132,135025,2,2
1132,135052,3,3
1132,135028,3,3
1132,135032,2,1
1132,135051,2,2
1132,135027,3,2
1005,135050,2,3
1005,135076,3,3
1005,132830,2,2
1005,135066,3,2
1005,135041,2,2
1005,135057,2,3
1005,135043,1,3
1005,135042,3,2
1005,135032,3,2
1120,135085,1,1
1120,132845,2,1
1120,135032,2,2
1120,135045,2,3
1120,135038,1,1
1004,135060,2,2
1004,135028,3,3
1004,135106,3,3
1120,135057,3,3
1004,135062,3,3
1120,135026,2,2
1004,135032,3,3
1120,132846,3,3
1077,135027,1,2
1120,132847,3,3
1037,135054,3,2
1037,135082,1,1
1037,135070,1,1
1037,132845,1,1
1037,135108,3,3
1037,132847,2,2
1037,132830,3,3
1035,135000,3,3
1035,134996,3,2
1035,134986,3,3
1052,132851,2,1
1036,132834,2,3
1036,135064,3,3
1036,135079,3,3
1036,135042,3,3
1036,135085,3,3
1036,135025,3,3
1036,132825,3,3
1036,135059,3,3
1036,135052,3,3
1036,132754,3,3
1036,135065,1,1
1036,135045,3,3
1038,132854,2,3
1038,132856,1,2
1038,132858,1,3
1038,132861,2,2
1038,132862,3,3
1071,132862,3,3
1071,135063,3,2
1071,135052,3,3
1071,135060,2,3
1071,135042,3,3
1071,132825,3,3
1071,132856,3,3
1071,135032,3,3
1071,132834,2,2
1071,135039,3,3
1071,135028,3,3
1071,135025,3,3
1071,135030,3,3
1114,135053,1,1
1084,135058,2,1
1084,132862,3,3
1084,135072,3,3
1084,135030,3,3
1084,135026,3,3
1084,135035,3,3
1084,135045,3,3
1084,132861,3,3
1084,135085,3,3
1084,132723,2,1
1049,132825,1,1
1049,135041,1,1
1019,132830,1,1
1019,135076,1,1
1019,135038,1,1
